"","site.code","grid.cell.number"
"1","BMIS",892
"2","BMIS",893
"3","BMIS",894
"4","BMIS",986
"5","BMIS",987
"6","BMIS",988
"7","BMIS",1080
"8","BMIS",1081
"9","BMIS",1174
"10","BMIS",1175
"11","BMIS",1176
"12","BMIS",1269
"13","BMIS",1270
"14","BMIS",1363
"15","BMIS",1364
"16","BMIS",1457
"17","BMIS",1458
"18","BMIS",2021
"19","BMIS",2115
"20","BMIS",2585
"21","BMIS",2677
"22","BMIS",2678
"23","BMIS",2679
"24","BMIS",2771
"25","BMIS",2772
"26","BMIS",2773
"27","BMIS",2866
"28","BMIS",2867
"29","BMIS",2959
"30","BMIS",2960
"31","BMIS",3053
"32","BMIS",3054
"33","BMIS",3146
"34","BMIS",3147
"35","BMIS",3240
"36","BMIS",3241
"37","BMIS",3333
"38","BMIS",3334
"39","BMIS",3425
"40","BMIS",3428
"41","BMIS",3519
"42","BMIS",3520
"43","BMIS",3521
"44","BMIS",3522
"45","BMIS",3612
"46","BMIS",3613
"47","BMIS",3614
"48","BMIS",3615
"49","BMIS",3704
"50","BMIS",3705
"51","BMIS",3706
"52","BMIS",3707
"53","BMIS",3708
"54","BMIS",3709
"55","BMIS",3802
"56","BMIS",3803
"57","BMIS",3895
"58","BMIS",3896
"59","BMIS",3989
"60","BMIS",4082
"61","BMIS",4175
"62","SCHE",16
"63","SCHE",47
"64","SCHE",78
"65","SCHE",141
"66","SCHE",148
"67","SCHE",149
"68","SCHE",153
"69","SCHE",155
"70","SCHE",180
"71","SCHE",181
"72","SCHE",182
"73","SCHE",183
"74","SCHE",184
"75","SCHE",185
"76","SCHE",186
"77","SCHE",208
"78","SCHE",210
"79","SCHE",211
"80","SCHE",212
"81","SCHE",213
"82","SCHE",214
"83","SCHE",215
"84","SCHE",217
"85","SCHE",242
"86","SCHE",243
"87","SCHE",244
"88","SCHE",246
"89","SCHE",253
"90","SCHE",262
"91","SCHE",263
"92","SCHE",264
"93","SCHE",286
"94","SCHE",287
"95","SCHE",288
"96","SCHE",289
"97","SCHE",290
"98","SCHE",291
"99","SCHE",292
"100","SCHE",293
"101","SCHE",294
"102","SCHE",295
"103","SCHE",297
"104","SCHE",318
"105","SCHE",319
"106","SCHE",322
"107","SCHE",323
"108","SCHE",324
"109","SCHE",325
"110","SCHE",326
"111","SCHE",327
"112","SCHE",328
"113","SCHE",329
"114","SCHE",330
"115","SCHE",331
"116","SCHE",334
"117","SCHE",353
"118","SCHE",354
"119","SCHE",355
"120","SCHE",356
"121","SCHE",357
"122","SCHE",358
"123","SCHE",359
"124","SCHE",360
"125","SCHE",361
"126","SCHE",362
"127","SCHE",383
"128","SCHE",384
"129","SCHE",385
"130","SCHE",386
"131","SCHE",387
"132","SCHE",388
"133","SCHE",389
"134","SCHE",390
"135","SCHE",391
"136","SCHE",392
"137","SCHE",414
"138","SCHE",415
"139","SCHE",416
"140","SCHE",417
"141","SCHE",418
"142","SCHE",419
"143","SCHE",420
"144","SCHE",421
"145","SCHE",428
"146","SCHE",429
"147","SCHE",445
"148","SCHE",446
"149","SCHE",447
"150","SCHE",448
"151","SCHE",460
